Epoch,TrainError,ValidError,TestError
1,72.08971,55.66331,
2,53.03222,39.61732,
3,40.41033,24.71943,
4,30.92274,16.19904,
5,25.12475,11.98985,
6,20.27036,9.10716,
7,18.37457,8.08677,
8,15.13558,6.25008,
9,13.37289,5.05109,
10,11.788710,4.540810,
11,10.904611,3.903111,
12,9.813512,3.520412,
13,9.008713,3.239813,
14,8.413614,2.908214,
15,7.608815,2.678615,
16,7.172416,2.678616,
17,6.721817,2.500017,
18,6.401618,2.372418,
19,5.849019,2.040819,
20,5.778220,1.913320,
21,5.344621,1.862221,
22,5.364422,1.734722,
23,5.010223,1.607123,
24,4.738224,1.683724,
25,4.568125,1.326525,
26,4.460426,1.224526,
27,4.160127,1.352027,
28,4.162928,1.224528,
29,3.992929,1.122429,
30,3.854030,1.173530,
31,4.449131,1.148031,
32,4.055232,0.994932,
33,3.462933,1.071433,
34,3.530934,1.020434,
35,3.273135,1.020435,
36,3.355236,0.943936,
37,3.001037,0.943937,
38,3.071938,0.892938,
39,3.086039,0.943939,
40,2.850840,0.841840,
