Epoch,TrainError,ValidError,TestError
1,74.93771,57.13701,
2,51.14672,36.56852,
3,28.68223,18.89413,
4,16.07584,10.10854,
5,10.13035,6.52205,
6,7.26166,4.74426,
7,5.51367,3.72097,
8,4.55128,3.01818,
9,3.81059,2.64609,
10,3.352310,2.242910,
11,2.994011,1.891511,
12,2.702312,1.757112,
13,2.443913,1.602113,
14,2.259014,1.509014,
15,2.083315,1.374715,
16,1.906416,1.188616,
17,1.745617,1.085317,
18,1.735318,1.064618,
19,1.560719,1.002619,
20,1.443620,0.919920,
21,1.448221,0.857921,
22,1.352922,0.837222,
23,1.267923,0.785523,
24,1.246124,0.754524,
25,1.127825,0.692525,
26,1.119726,0.692526,
27,1.053127,0.661527,
28,0.996828,0.661528,
29,1.010629,0.620229,
30,0.946330,0.589130,
31,0.888931,0.578831,
32,0.887732,0.558132,
33,0.832633,0.558133,
34,0.825734,0.485834,
35,0.780935,0.475535,
36,0.747636,0.454836,
37,0.708637,0.423837,
38,0.714338,0.434138,
39,0.679939,0.423839,
40,0.684540,0.423840,
