Epoch,TrainError,ValidError,TestError
1,93.03161,92.01531,
2,86.50822,77.42352,
3,77.03473,69.18373,
4,66.60344,56.91334,
5,55.15765,45.22965,
6,43.96966,32.24496,
7,35.71477,24.92357,
8,30.12078,19.64298,
9,25.47899,16.32659,
10,21.633410,13.061210,
11,19.139711,11.326511,
12,17.079512,9.974512,
13,15.166613,8.852013,
14,13.761114,7.933714,
15,12.531215,7.168415,
16,11.655516,6.607116,
17,10.709017,5.943917,
18,9.994918,5.586718,
19,9.399819,5.000019,
20,9.079620,4.770420,
21,8.229421,4.591821,
22,7.960222,4.311222,
23,7.659823,4.005123,
24,7.248924,3.673524,
25,6.855025,3.469425,
26,6.693526,3.316326,
27,6.197627,3.112227,
28,5.851828,2.984728,
29,5.812229,2.806129,
30,5.571330,2.704130,
31,5.338931,2.551031,
32,5.004532,2.500032,
33,4.908233,2.474533,
34,4.840234,2.449034,
35,4.743835,2.193935,
