Filename,ClassId
00000,16
00001,1
00002,38
00003,33
00004,11
00005,38
00006,18
00007,12
00008,25
00009,35
00010,12
00011,7
00012,19
00013,7
00014,4
00015,9
00016,21
00017,20
00018,27
00019,38
00020,4
00021,33
00022,9
00023,3
00024,1
00025,11
00026,13
00027,10
00028,9
00029,11
00030,5
00031,17
00032,34
00033,19
00034,2
00035,17
00036,3
00037,12
00038,16
00039,8
00040,7
00041,30
00042,18
00043,12
00044,24
00045,25
00046,3
00047,10
00048,31
00049,3
00050,4
00051,13
00052,15
00053,9
00054,13
00055,35
00056,5
00057,26
00058,9
00059,16
00060,38
00061,10
00062,4
00063,9
00064,15
00065,9
00066,18
00067,2
00068,5
00069,28
00070,11
00071,25
00072,30
00073,34
00074,5
00075,12
00076,1
00077,10
00078,25
00079,25
00080,21
00081,33
00082,25
00083,8
00084,10
00085,35
00086,3
00087,5
00088,22
00089,13
00090,3
00091,1
00092,2
00093,14
00094,12
00095,32
00096,3
00097,38
00098,9
00099,33
00100,4
00101,10
00102,8
00103,11
00104,33
00105,4
00106,35
00107,29
00108,33
00109,4
00110,1
00111,14
00112,16
00113,10
00114,23
00115,3
00116,27
00117,29
00118,1
00119,17
00120,13
00121,7
00122,4
00123,8
00124,2
00125,10
00126,10
00127,31
00128,1
00129,6
00130,36
00131,3
00132,14
00133,13
00134,11
00135,10
00136,18
00137,40
00138,2
00139,38
00140,41
00141,1
00142,6
00143,18
00144,17
00145,18
00146,2
00147,41
00148,11
00149,21
00150,7
00151,24
00152,11
00153,25
00154,17
00155,3
00156,6
00157,9
00158,7
00159,1
00160,13
00161,16
00162,4
00163,24
00164,18
00165,9
00166,13
00167,14
00168,29
00169,17
00170,13
00171,38
00172,26
00173,25
00174,33
00175,2
00176,5
00177,40
00178,13
00179,2
00180,8
00181,4
00182,36
00183,25
00184,20
00185,25
00186,18
00187,1
00188,10
00189,8
00190,10
00191,29
00192,12
00193,38
00194,31
00195,2
00196,8
00197,38
00198,19
00199,28
00200,17
00201,9
00202,4
00203,1
00204,14
00205,9
00206,2
00207,31
00208,13
00209,15
00210,15
00211,38
00212,25
00213,5
00214,25
00215,13
00216,10
00217,2
00218,4
00219,10
00220,2
00221,4
00222,3
00223,1
00224,14
00225,12
00226,12
00227,5
00228,8
00229,36
00230,25
00231,13
00232,33
00233,18
00234,33
00235,19
00236,12
00237,30
00238,4
00239,18
00240,12
00241,13
00242,20
00243,1
00244,10
00245,40
00246,5
00247,8
00248,12
00249,38
00250,20
00251,14
00252,1
00253,36
00254,34
00255,28
00256,35
00257,13
00258,25
00259,15
00260,35
00261,14
00262,18
00263,25
00264,1
00265,38
00266,29
00267,25
00268,2
00269,18
00270,24
00271,18
00272,34
00273,9
00274,25
00275,18
00276,34
00277,39
00278,31
00279,1
00280,3
00281,35
00282,31
00283,26
00284,1
00285,0
00286,33
00287,30
00288,17
00289,13
00290,1
00291,31
00292,13
00293,35
00294,5
00295,1
00296,33
00297,28
00298,35
00299,26
00300,12
00301,5
00302,2
00303,14
00304,1
00305,3
00306,32
00307,1
00308,7
00309,38
00310,19
00311,11
00312,38
00313,38
00314,1
00315,42
00316,2
00317,40
00318,17
00319,4
00320,8
00321,4
00322,5
00323,6
00324,31
00325,35
00326,9
00327,38
00328,8
00329,2
00330,4
00331,18
00332,3
00333,25
00334,10
00335,38
00336,7
00337,34
00338,4
00339,22
00340,10
00341,29
00342,9
00343,2
00344,38
00345,38
00346,18
00347,5
00348,13
00349,28
00350,17
00351,2
00352,16
00353,14
00354,12
00355,40
00356,35
00357,3
00358,38
00359,10
00360,9
00361,38
00362,13
00363,39
00364,3
00365,11
00366,7
00367,38
00368,19
00369,13
00370,10
00371,18
00372,3
00373,5
00374,25
00375,1
00376,41
00377,13
00378,1
00379,18
00380,19
00381,13
00382,38
00383,4
00384,35
00385,25
00386,34
00387,12
00388,17
00389,9
00390,4
00391,33
00392,28
00393,10
00394,1
00395,5
00396,4
00397,38
00398,4
00399,12
00400,38
00401,36
00402,10
00403,1
00404,38
00405,36
00406,8
00407,25
00408,2
00409,2
00410,25
00411,14
00412,2
00413,26
00414,29
00415,10
00416,10
00417,14
00418,9
00419,2
00420,3
00421,1
00422,19
00423,9
00424,10
00425,13
00426,13
00427,18
00428,38
00429,34
00430,11
00431,13
00432,34
00433,34
00434,12
00435,6
00436,10
00437,10
00438,8
00439,3
00440,22
00441,17
00442,7
00443,30
00444,25
00445,1
00446,31
00447,38
00448,38
00449,8
00450,9
00451,10
00452,2
00453,40
00454,1
00455,34
00456,14
00457,8
00458,39
00459,32
00460,35
00461,11
00462,25
00463,17
00464,2
00465,38
00466,7
00467,13
00468,14
00469,7
00470,8
00471,35
00472,3
00473,1
00474,35
00475,11
00476,35
00477,36
00478,24
00479,13
00480,33
00481,2
00482,35
00483,6
00484,2
00485,10
00486,12
00487,31
00488,9
00489,14
00490,17
00491,26
00492,1
00493,3
00494,10
00495,5
00496,23
00497,9
00498,31
00499,40
00500,22
00501,30
00502,9
00503,7
00504,23
00505,4
00506,32
00507,42
00508,1
00509,3
00510,8
00511,2
00512,25
00513,22
00514,38
00515,33
00516,3
00517,1
00518,8
00519,4
00520,18
00521,26
00522,31
00523,14
00524,11
00525,13
00526,3
00527,5
00528,18
00529,4
00530,13
00531,15
00532,30
00533,1
00534,12
00535,31
00536,38
00537,32
00538,10
00539,35
00540,8
00541,6
00542,5
00543,12
00544,4
00545,1
00546,1
00547,1
00548,12
00549,12
00550,5
00551,5
00552,9
00553,13
00554,38
00555,4
00556,13
00557,8
00558,13
00559,27
00560,17
00561,10
00562,10
00563,18
00564,12
00565,23
00566,10
00567,10
00568,2
00569,23
00570,3
00571,8
00572,41
00573,6
00574,13
00575,33
00576,3
00577,2
00578,13
00579,1
00580,17
00581,10
00582,2
00583,1
00584,35
00585,10
00586,1
00587,30
00588,5
00589,5
00590,35
00591,13
00592,16
00593,17
00594,11
00595,3
00596,4
00597,29
00598,2
00599,26
00600,1
00601,11
00602,4
00603,19
00604,3
00605,9
00606,8
00607,38
00608,28
00609,9
00610,27
00611,41
00612,1
00613,29
00614,11
00615,10
00616,25
00617,1
00618,10
00619,38
00620,30
00621,14
00622,4
00623,12
00624,3
00625,13
00626,28
00627,8
00628,2
00629,17
00630,5
00631,35
00632,25
00633,8
00634,4
00635,7
00636,16
00637,29
00638,17
00639,9
00640,7
00641,8
00642,17
00643,11
00644,2
00645,13
00646,12
00647,7
00648,1
00649,2
00650,32
00651,17
00652,13
00653,5
00654,12
00655,11
00656,29
00657,13
00658,13
00659,10
00660,8
00661,13
00662,2
00663,7
00664,13
00665,10
00666,14
00667,13
00668,11
00669,4
00670,15
00671,10
00672,36
00673,35
00674,26
00675,1
00676,25
00677,32
00678,29
00679,8
00680,13
00681,14
00682,35
00683,12
00684,35
00685,35
00686,14
00687,25
00688,17
00689,34
00690,5
00691,4
00692,4
00693,13
00694,29
00695,4
00696,5
00697,8
00698,1
00699,2
00700,3
00701,4
00702,39
00703,12
00704,7
00705,16
00706,12
00707,12
00708,26
00709,16
00710,2
00711,36
00712,11
00713,39
00714,4
00715,41
00716,2
00717,36
00718,1
00719,5
00720,10
00721,13
00722,5
00723,30
00724,38
00725,13
00726,14
00727,11
00728,11
00729,35
00730,25
00731,5
00732,14
00733,38
00734,15
00735,38
00736,39
00737,38
00738,4
00739,1
00740,3
00741,1
00742,35
00743,17
00744,4
00745,17
00746,4
00747,2
00748,7
00749,30
00750,10
00751,28
00752,9
00753,28
00754,22
00755,42
00756,2
00757,12
00758,3
00759,23
00760,5
00761,13
00762,10
00763,3
00764,11
00765,4
00766,1
00767,5
00768,3
00769,9
00770,10
00771,4
00772,13
00773,29
00774,3
00775,4
00776,15
00777,15
00778,0
00779,33
00780,2
00781,39
00782,12
00783,38
00784,7
00785,10
00786,2
00787,10
00788,2
00789,38
00790,1
00791,5
00792,1
00793,3
00794,1
00795,42
00796,15
00797,15
00798,4
00799,15
00800,38
00801,25
00802,5
00803,5
00804,12
00805,14
00806,25
00807,0
00808,17
00809,1
00810,26
00811,31
00812,4
00813,13
00814,14
00815,1
00816,11
00817,8
00818,1
00819,2
00820,1
00821,14
00822,3
00823,4
00824,25
00825,4
00826,15
00827,1
00828,38
00829,18
00830,37
00831,7
00832,1
00833,18
00834,28
00835,11
00836,10
00837,9
00838,15
00839,11
00840,12
00841,10
00842,13
00843,13
00844,25
00845,4
00846,1
00847,38
00848,12
00849,23
00850,10
00851,2
00852,1
00853,29
00854,24
00855,10
00856,1
00857,28
00858,3
00859,30
00860,5
00861,42
00862,9
00863,2
00864,1
00865,33
00866,3
00867,9
00868,25
00869,16
00870,42
00871,35
00872,10
00873,28
00874,4
00875,1
00876,7
00877,5
00878,3
00879,30
00880,1
00881,1
00882,10
00883,30
00884,35
00885,24
00886,33
00887,1
00888,12
00889,2
00890,13
00891,13
00892,33
00893,17
00894,35
00895,5
00896,15
00897,31
00898,33
00899,42
00900,11
00901,24
00902,38
00903,4
00904,18
00905,7
00906,13
00907,21
00908,20
00909,38
00910,1
00911,13
00912,23
00913,13
00914,32
00915,13
00916,13
00917,38
00918,35
00919,5
00920,12
00921,25
00922,4
00923,1
00924,19
00925,3
00926,9
00927,2
00928,3
00929,17
00930,38
00931,5
00932,5
00933,38
00934,1
00935,11
00936,31
00937,2
00938,42
00939,12
00940,35
00941,29
00942,38
00943,0
00944,38
00945,10
00946,13
00947,1
00948,34
00949,22
00950,12
00951,31
00952,15
00953,13
00954,31
00955,1
00956,42
00957,38
00958,7
00959,20
00960,27
00961,15
00962,12
00963,14
00964,10
00965,5
00966,32
00967,3
00968,7
00969,13
00970,12
00971,7
00972,13
00973,4
00974,10
00975,8
00976,23
00977,10
00978,39
00979,2
00980,13
00981,7
00982,40
00983,5
00984,29
00985,10
00986,5
00987,31
00988,5
00989,39
00990,1
00991,23
00992,7
00993,38
00994,35
00995,38
00996,25
00997,38
00998,9
00999,16
01000,17
01001,1
01002,12
01003,12
01004,10
01005,5
01006,38
01007,3
01008,11
01009,12
01010,8
01011,10
01012,2
01013,10
01014,12
01015,35
01016,15
01017,4
01018,35
01019,5
01020,14
01021,2
01022,30
01023,35
01024,38
01025,30
01026,11
01027,4
01028,12
01029,1
01030,27
01031,8
01032,11
01033,41
01034,10
01035,2
01036,8
01037,2
01038,35
01039,13
01040,38
01041,9
01042,12
