Epoch,TrainError,ValidError,TestError
1,93.02601,91.93881,
2,86.53372,77.37242,
3,77.01483,69.23473,
4,66.60624,56.93884,
5,55.33335,45.48475,
6,44.01216,32.29596,
7,35.70057,25.10207,
8,30.14628,19.66848,
9,25.58669,16.17359,
10,21.610710,13.163310,
11,19.202011,11.352011,
12,17.054012,9.949012,
13,15.104313,8.852013,
14,13.693014,7.857114,
15,12.616215,7.219415,
16,11.686716,6.658216,
17,10.754417,5.892917,
18,9.924118,5.510218,
19,9.397019,5.000019,
20,8.971920,4.770420,
21,8.215321,4.591821,
22,7.920522,4.234722,
23,7.654223,4.056123,
24,7.265924,3.750024,
25,6.897525,3.367325,
26,6.679326,3.214326,
27,6.177727,3.086727,
28,5.973728,3.035728,
29,5.789529,2.780629,
30,5.503330,2.780630,
31,5.324831,2.576531,
32,5.129232,2.576532,
33,4.993233,2.474533,
34,4.885534,2.500034,
35,4.712735,2.193935,
36,4.483136,2.193936,
37,4.301737,2.168437,
38,4.369838,2.066338,
39,4.270639,1.964339,
40,4.072240,1.964340,
41,4.120441,1.811241,
42,3.774742,1.836742,
43,3.763343,1.760243,
44,3.658544,1.658244,
45,3.434645,1.683745,
46,3.372346,1.530646,
47,3.315647,1.454147,
48,3.414848,1.479648,
49,3.139949,1.403149,
50,3.165450,1.326550,
51,3.142751,1.403151,
52,3.057752,1.377652,
53,2.972753,1.352053,
54,2.805554,1.352054,
55,2.913255,1.352055,
56,2.893356,1.275556,
57,2.833857,1.199057,
58,2.595858,1.224558,
59,2.629859,1.173559,
60,2.573160,1.224560,
